Sun, 24 Sep 2017 12:22:47 INFO Get char: 0
Sun, 24 Sep 2017 12:22:52 INFO -- username: 0曾经的曾经0, id: 1719847527
Sun, 24 Sep 2017 12:22:52 INFO -- username: 2017蒲公英的种子, id: 5994455616
Sun, 24 Sep 2017 12:22:52 INFO -- username: 最初022, id: 5869421097
Sun, 24 Sep 2017 12:22:52 INFO -- username: 520小王子的小狐狸, id: 6277332998
Sun, 24 Sep 2017 12:22:52 INFO -- username: 太乐201707, id: 6323777769
Sun, 24 Sep 2017 12:22:52 INFO -- username: 007Cccc, id: 5386500509
Sun, 24 Sep 2017 12:22:52 INFO -- username: 2019咪, id: 2243329651
Sun, 24 Sep 2017 12:22:52 INFO -- username: 青08079, id: 2141894650
Sun, 24 Sep 2017 12:22:52 INFO -- username: 3000姐姐, id: 1882579271
Sun, 24 Sep 2017 12:22:52 INFO -- username: 秧秧02, id: 3937507220
Sun, 24 Sep 2017 12:22:52 INFO -- username: 侃空003, id: 6085509237
Sun, 24 Sep 2017 12:22:52 INFO -- username: 520711XRQjH, id: 5535961694
Sun, 24 Sep 2017 12:22:52 INFO -- username: 蔡军100, id: 1663608435
Sun, 24 Sep 2017 12:22:52 INFO -- username: 莉莉602, id: 1112173093
Sun, 24 Sep 2017 12:22:52 INFO -- username: 陈士华001, id: 1893098347
Sun, 24 Sep 2017 12:22:52 INFO -- username: 丫丫10019, id: 6372043336
Sun, 24 Sep 2017 12:22:52 INFO -- username: 亮哥200704, id: 6364370985
Sun, 24 Sep 2017 12:22:52 INFO -- username: 隽隽201707, id: 6300697797
Sun, 24 Sep 2017 12:22:52 INFO -- username: 当麻201606, id: 5953362362
Sun, 24 Sep 2017 12:22:52 INFO -- username: 天羽20132013, id: 3188176572
Sun, 24 Sep 2017 12:22:52 INFO -- username: 逆暖6058251315, id: 6058251315
Sun, 24 Sep 2017 12:22:52 INFO -- username: 柚子6050021165, id: 6050021165
Sun, 24 Sep 2017 12:22:52 INFO -- username: 小蓝2016毕业啦, id: 1747925651
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6078011598, id: 6078011598
Sun, 24 Sep 2017 12:22:52 INFO -- username: 大甜甜2015, id: 2276659213
Sun, 24 Sep 2017 12:22:52 INFO -- username: 小麦色1023, id: 3551117167
Sun, 24 Sep 2017 12:22:52 INFO -- username: 大鹿鹿-0612, id: 6186180586
Sun, 24 Sep 2017 12:22:52 INFO -- username: 多多20110712, id: 1856962624
Sun, 24 Sep 2017 12:22:52 INFO -- username: 风风2066410163, id: 2066410163
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6068298177, id: 6068298177
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6093744498, id: 6093744498
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6070157079, id: 6070157079
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6025016123, id: 6025016123
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6067478469, id: 6067478469
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6001770559, id: 6001770559
Sun, 24 Sep 2017 12:22:52 INFO -- username: 玲15105, id: 5865619542
Sun, 24 Sep 2017 12:22:52 INFO -- username: LY520819, id: 5738720680
Sun, 24 Sep 2017 12:22:52 INFO -- username: 陈浩V2016, id: 5905882110
Sun, 24 Sep 2017 12:22:52 INFO -- username: 泡泡_20170, id: 5772766837
Sun, 24 Sep 2017 12:22:52 INFO -- username: 喧闹_90758, id: 3288023832
Sun, 24 Sep 2017 12:22:52 INFO -- username: 小火碳200706, id: 3946965949
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5509116166, id: 5509116166
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6100462854, id: 6100462854
Sun, 24 Sep 2017 12:22:52 INFO -- username: 小样儿170, id: 6048247492
Sun, 24 Sep 2017 12:22:52 INFO -- username: a348803732, id: 1927897693
Sun, 24 Sep 2017 12:22:52 INFO -- username: Oo大头菟0O, id: 2626359433
Sun, 24 Sep 2017 12:22:52 INFO -- username: 天空那朵云05, id: 5627660095
Sun, 24 Sep 2017 12:22:52 INFO -- username: 美丽的日子07, id: 1765350664
Sun, 24 Sep 2017 12:22:52 INFO -- username: 无缘无故1002, id: 1846745157
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5700880403, id: 5700880403
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户3607491420, id: 3607491420
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6205842233, id: 6205842233
Sun, 24 Sep 2017 12:22:52 INFO -- username: ffwei08, id: 2631008171
Sun, 24 Sep 2017 12:22:52 INFO -- username: Snow_0229, id: 6165884408
Sun, 24 Sep 2017 12:22:52 INFO -- username: 劉恩惠520, id: 2901474143
Sun, 24 Sep 2017 12:22:52 INFO -- username: hong200212, id: 5925496914
Sun, 24 Sep 2017 12:22:52 INFO -- username: 遇见爱情2010, id: 1869403812
Sun, 24 Sep 2017 12:22:52 INFO -- username: 彩色咖啡2012, id: 2033207105
Sun, 24 Sep 2017 12:22:52 INFO -- username: 晴耕雨读2014, id: 6097095424
Sun, 24 Sep 2017 12:22:52 INFO -- username: 玉净花明2012, id: 2722097193
Sun, 24 Sep 2017 12:22:52 INFO -- username: 99度水6090506768, id: 6090506768
Sun, 24 Sep 2017 12:22:52 INFO -- username: 手机用户2005224075_161, id: 2005224075
Sun, 24 Sep 2017 12:22:52 INFO -- username: 田志远1980, id: 6339073648
Sun, 24 Sep 2017 12:22:52 INFO -- username: 惯我小超人2009, id: 5623694924
Sun, 24 Sep 2017 12:22:52 INFO -- username: 低调的小草莓002, id: 5969718630
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5310166411, id: 5310166411
Sun, 24 Sep 2017 12:22:52 INFO -- username: 蒙奇D琳201702, id: 6136567152
Sun, 24 Sep 2017 12:22:52 INFO -- username: 吃汤圆12041990, id: 2645236147
Sun, 24 Sep 2017 12:22:52 INFO -- username: 爱不会等待00396, id: 6039910384
Sun, 24 Sep 2017 12:22:52 INFO -- username: Minyu105, id: 2029618803
Sun, 24 Sep 2017 12:22:52 INFO -- username: 兮12251002, id: 5309777967
Sun, 24 Sep 2017 12:22:52 INFO -- username: 颜小沫沫520, id: 5453076579
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5645094500, id: 5645094500
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6185015879, id: 6185015879
